Virtual Poster No	Abstract Title	Presenter First Name	Presenter Last Name	Submitter Institution	Parent Category	Primary Category
1804	Morphological and functional variability in central and subcentral motor regions of the human brain	Nicole	Eichert	University of Oxford	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1805	Is Posterior Subthalamic Area Important for Fiber Tracking of Dentato-Rubro-Thalamic Tract?	Anupa	Ambili Vijayakumari	University of Pennsylvania	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1806	Investigating the axon-diameter based human brain connectome using MRI	Hila	Gast	Tel Aviv University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1807	Integrative Imaging, Functional, Transcriptomic Analyses of Sex-Biased Brain Organization in Humans	Siyuan	Liu	Developmental Neurogenomics Unit, Human Genetics Branch, National Institute of Mental Health	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1808	Anchoring the human olfactory system to a functional gradient	Michel	Thiebaut de Schotten	BCBlab	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1809	The Modular Organization of Heritability Across the Cortex	Nadia	Blostein	McGill University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1810	Lesion Analysis for Recovery of Hemispatial Neglect in Stroke: Voxel-Based Lesion-Symptom Mapping	Bo Mi	Kwon	Department of Rehabilitation Medicine, Konkuk University Medical Center	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1811	A study on brain activation during the elbow exercise in the presence or absence of a weight	MiHyun	Choi	Konkuk University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1812	Development of Brain White Matter Functional Network in Typically Developing Children and Adolescent	Xuan	Bu	Sichuan University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Normal Development
1813	Eye movement control in the human oculomotor cerebellum	Maxine	Ruehl	LMU Munich	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1814	Towards an Accurate Identification of Vascular Territories in the Human Brain	Mykyta	Smirnov	UMR 1253, iBrain, Université de Tours, Inserm	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1815	Associations between birth weight and adult cortical structure in a large general population sample	Heather	Whalley	University of Edinburgh	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1816	Resting-state functional connectivity abnormalities associated with cerebellar mutism syndrome	Stu	McAfee	St Jude Children's Research Hospital	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1817	Assessing Quantitative MRI Techniques using Multimodal Comparisons	Francis	Carter	Concordia University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Cyto- and Myeloarchitecture
1818	Handedness and Other Variables Associated with Human Brain Asymmetrical Skew	Xiangzhen	Kong	Max Plank Institute for Psycholinguistics	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1819	The relationship between body mass index and cortical neurite distributions	Koji	Hatano	McGill University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1820	Cortical Thinning During Childhood and Adolescence, Gene Expression, and Psychiatric Disorders	Nadine	Parker	University of Toronto	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Normal Development
1821	Cortical confluence: Cytoarchitectural mapping of the transition from iso to allocortex.	Casey	Paquola	Montreal Neurological Institute	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Cyto- and Myeloarchitecture
1822	Neural correlates and prediction of visual field deficits after selective amygdalahippocampectomy	Bastian	David	University Hospital Bonn	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1823	Precision DTI Imaging Reveals Incomplete Adult Hemispherotomy	Nicole	Seider	Washington University in St Louis	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1824	The effects of diffusion signal modeling and segmentation approaches on subthalamic parcellation	Gianpaolo	Basile	University of Messina	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Subcortical Structures
1825	Metabolic basis of activated and deactivated brain network nodes in fMRI paradigms	Yury	Koush	Yale University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1826	Mapping Systematic Changes in Community Assignment Across Parcellation Resolutions	Savannah	Cookson	UC Berkeley	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1827	The impact of cortical realignment approaches on parcellated analyses in humans	Erin	Dickie	Centre for Addiction and Mental Health, University of Toronto	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1828	3D digitalization of fresh brains by photogrammetry	Carlos	Rueda	Universidad de Antioquia	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1829	Groupwise Tractogram Filtering via Iterative Message Passing and Pruning	Yihao	Xia	LONI	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1830	Allometric length scaling of the corpus callosum with increasing brain size	Liyuan	Yang	Beijing Normal University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1831	Evolution of cortical myelination in chimpanzees	Ilona	Lipp	Max Planck Institute for Human Cognitive & Brain Sciences	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Cyto- and Myeloarchitecture
1832	A reproducible set of rules for clinical tractography	Frédéric	Andersson	UMR 1253, iBrain, Université de Tours, Inserm	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1833	Relation between U-fibers configuration, sulcus shape and hand functional activation in the central	Miguel	Guevara	Neurospin	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1834	What receptor fingerprints reveal about macaque cingulate cortex organization	Lucija	Jankovic-Rapan	Research Centre Juelich	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1835	Anesthetic modulation of sensory-evoked response in rat brain: the cerebral cortex vs. the thalamus	Kwangyeol	Baek	Massachusetts General Hospital	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1836	Measuring Biological Gradients along the Human Dorsal Striatum in vivo using Quantitative MRI	Elior	Drori	The Hebrew University of Jerusalem	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Subcortical Structures
1837	Reliability of different longitudinal pipelines for the analysis of structural MR images	Martin	Gell	Humboldt University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1838	ENIGMA-DTI: mapping white matter deficits in cross-diagnostic psychiatric research	Peter	Kochunov	Maryland Psychiatric Research Center	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1839	Lateralization of major fasciculi in the human lineage	Katherine	Bryant	University of Oxford	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1841	Analysis of fiber characteristics in the isthmus of the corpus callosum: Aboitiz et al. revisited	Maria	Morozova	MPI-CBS	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1842	The links between precentral sulcus interruptions and language-associated area 55b	Jean-Francois	Mangin	Neurospin, CEA	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1843	The Latent Network Geometry of The Brain: Toward Geometrical Markers in Brain Network Science?	Alberto	Cacciola	University of Messina	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1844	BrainVR: A Virtual Reality System for Neurology Education	Gonzalo	Rojas	Clinica las Condes	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1845	The orientation-dependence of stria of Gennari ex vivo in high-resolution MRI phase data	Anna	Blazejewska	Athinoula A. Martinos Center, Massachusetts General Hospital/Harvard Medical School	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1846	Preserved ‘retinotopic’ maps in occipital areas repurposed for language in bilateral anophthalmia	Koen	Haak	Donders Institute for Brain, Cognition and Behaviour	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1847	Diffusion MRI-based assessments of corticospinal tract integrity in stroke patients	Jord	Vink	University Medical Center Utrecht	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1848	Time-of-Flight-MRA-Derived-Probabilistic-Map of Each Major Cerebral Artery	Samantha	Cote	Université de Sherbrooke	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Neuroanatomy Other
1849	Mapping Pontocerebellar Connectivity with Diffusion MRI	Paul-Noel	Rousseau	Concordia University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1850	Agreement between Freesurfer and CAT12 Cortical Thickness in Children	Cameron	McKay	Georgetown University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1851	Variability in the genetic bases of brain white matter microstructure	Rowena	Chin	Yale University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1852	Decreased functional connectivity in smoking contrast increased in drinking in the early visual area	Zhuo	Wan	University of Warwick	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1853	Somatovisual processing in the deep layers of the human superior colliculus	Kevin	Sitek	Baylor College of Medicine	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Subcortical Structures
1854	Long-term impact of cerebellar mass resection on cognition and emotion: mixed methodology	Claire	Lunde	Boston Children's Hospital	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1855	Effect of regional variation in nonlinear scaling on voxelwise morphology of the human brain	Timothy	Koscik	University of Iowa	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Normal Development
1856	Direct visualization and characterization of the human zona incerta and surrounding fiber tracts	Jonathan	Lau	Western University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Subcortical Structures
1857	Fine-grained level of cortical remapping depends on the level of nervous system injury	Carmen	Cirstea	University of Missouri	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1858	Cortical Atlas of the Domestic Canine Brain	Philippa	Johnson	Cornell University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Cyto- and Myeloarchitecture
1859	Mapping the human subcortical auditory system with 3T quantitative MRI	Kevin	Sitek	Baylor College of Medicine	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Subcortical Structures
1860	A generative model for primate brain shapes	Katja	Heuer	Max Planck Institute for Human Cognitive and Brain Sciences	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Neuroanatomy Other
1861	Bridging the Gap: From Neuroanatomical Literature to Probabilistic Tractography	Guillermo	Gallardo	Max Planck Institute for Human Cognitive and Brain Sciences	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1862	Multi-modal refinement of pial surfaces based on T1-MPRAGE and T2 images	Viviana	Siless	MGH/Harvard Medical School	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1863	Dense mappings between cortical surfaces in Euarchontoglires using phylogenic relationships.	Ernst	Schwartz	Medical University Vienna	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1865	Laminar-specific microstructural gradients reveal differentiated hierarchical organization	Xindi	Wang	McGill Centre for Integrative Neuroscience, Montreal Neurological Institute, McGill University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Cyto- and Myeloarchitecture
1866	The morphological evolution of the primate brain revealed by alignment of the cortical sulci	Yann	Leprince	NeuroSpin, CEA, Université Paris-Saclay	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1867	Morphological Heterogeneity of the Human Nucleus Accumbens: Characterising the Core and Shell	Eugene	McTavish	Turner Institute for Brain and Mental Health, Monash University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Subcortical Structures
1868	What can go wrong in clinical g-ratio weighted imaging? - The error when omitting B1+ correction	Tim	Emmenegger	Spinal Cord Injury Center Balgrist	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1869	BrainFS: An Online System for the Analysis of Brain Volumetry	Gonzalo	Rojas	Clinica las Condes	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Neuroanatomy Other
1870	DNAm Predicts Future Gray Matter Volume and Cognitive Performance in Normally Developing Children	Jiayu	Chen	Tri-Institutional Center for Translational Research in Neuroimaging and Data Science (TReNDS)	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Normal Development
1871	In Vivo Myeloarchitectonic Abnormalities in Middle-Aged Adults with Autism Spectrum Disorder (ASD)	Jiwandeep	Kohli	SDSU/UC San Diego Joint Doctoral Program in Clinical Psychology	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Cyto- and Myeloarchitecture
1872	Examining the similarity of pseudo disconnection methods to in-vivo chronic post-stroke data	Ajay	Halai	MRC Cognition and Brain Sciences Unit	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1873	Relationship Between Brain Structural Connectivity and Balance Deficits in Individuals with TBI	Soha	Saleh	Kessler Foundation	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1874	Cortical Surface Metrics and Volumetrics at Term Predict Motor Development in Very Preterm Infants	Matthew	Bugada	Cincinnati Children's Hospital and Medical Center	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1875	Histologic Validation of Hippocampal Subregions in Ex Vivo MRI	Jean	Augustinack	Massachusetts General Hospital/Harvard Medical School	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1876	Medial forebrain bundle structure is linked to human impulsivity	Brian	Knutson	Stanford University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1877	NeuroLang: Representing Neuroanatomy with Sulcus-Specific Queries	Antonia	Machlouzarides-Shalit	INRIA	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1878	Cerebellar contribution to cognitive processing	Ladan	Shahshahani	University of Western Ontario	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Subcortical Structures
1879	Cerebro-Cerebellar Resting-State Functional Connectivity Investigated in Macaque and Human	Joonas	Autio	RIKEN	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Anatomy and Functional Systems
1880	White Matter Tract Atlases of the Baby Brain	Ye	Wu	University of North Carolina, Chapel Hill	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1881	Linking vestibular function and sub-cortical volume changes in a longitudinal study of aging adults	Dominic	Padova	Johns Hopkins University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Subcortical Structures
1882	Comparative behavioral and task fMRI in Focal Hand Dystonia during increasingly complex motor task	Noreen	Bukhari-Parlakturk	Duke University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Subcortical Structures
1883	Neuroimaging measures of cortical demyelination after mild traumatic brain injury in older adults	Andrei	Irimia	University of Southern California	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Cyto- and Myeloarchitecture
1884	Correlation of priors-assisted Meyer’s loop tractography with post-surgical visual field deficit	Dmitri	Shastin	Cardiff University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1885	Correlation of Myelin Content and Neurite Density in the Early Developing Human Cortex	Khoi	Huynh	UNC-Chapel Hill	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Cortical Anatomy and Brain Mapping
1886	Characterization of the hippocampal formation using diffusion-weighted imaging	Mohamed	Yousif	Western University	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Subcortical Structures
1887	Inter-operator variability of tractography-derived measures in corticospinal tract	Farshid	Sepehrband	University of Southern California	Neuroanatomy, Physiology, Metabolism and Neurotransmission	White Matter Anatomy, Fiber Pathways and Connectivity
1888	An MSM surface registration pipeline to bridge atlases across the MNI and the FS/HCP worlds	Lindsay	Lewis	McGill University	Neuroinformatics and Data Sharing	Brain Atlases
1889	An Age-Specific Atlas for Delineation of White Matter Pathways in Children Aged 6-8 Years	Arthur	Spencer	University of Bristol	Neuroinformatics and Data Sharing	Brain Atlases
1890	An MRI-Derived Neuroanatomical Atlas of the Fischer 344 Rat Brain	Dana	Goerzen	McGill University	Neuroinformatics and Data Sharing	Brain Atlases
1891	A clinical research software prototype with diffusion MRI tractography for glioma surgery planning	Daniel	Krahulec	Philips Healthcare	Neuroinformatics and Data Sharing	Workflows
1892	Connectome Mapper 3: a software pipeline for multi-scale connectome mapping of multimodal MR data	Sebastien	Tourbier	University Hospital of Lausanne (CHUV) and University of Lausanne (UNIL)	Neuroinformatics and Data Sharing	Workflows
1893	The MNI-NOEL50 submillimetric whole-brain MRI template	Niels Alexander	Foit	Neuroimaging of Epilepsy Laboratory, McConnell Brain Imaging Center, Montreal Neurological Institute	Neuroinformatics and Data Sharing	Brain Atlases
1894	Identifying data sharing and data reuse in full-text NIMH-funded papers	Travis	Riddle	NIH	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1895	BIDS Derivatives - Standardization of Processing Results in Brain Imaging	Christopher	Markiewicz	Stanford University	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1896	Management and Quality Control of Large-Scale Neuroimaging Datasets: Developments from the BBRC	Greg	Operto	BarcelonaBeta Brain Research Center	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1897	A Large-scale Neuroimage Analysis using Keypoint Signatures : UK Biobank	Laurent	Chauvin	Ecole de Technologie Superieure	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1898	Introducing MICs: An open dataset for Microstructure-Informed Connectomics in health and epilepsy	Jessica	Royer	Montreal Neurological Institute	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1899	Original to digital: microstructural and functional brain atlases in common MRI space	Rory	Pijnenburg	VU Amsterdam	Neuroinformatics and Data Sharing	Brain Atlases
1900	Nighres: a python toolbox for high-resolution neuroimaging	Pierre-Louis	Bazin	Universiteit van Amsterdam	Neuroinformatics and Data Sharing	Workflows
1901	BrainSpace: a toolbox for the analysis of macroscale gradients in neuroimaging and connectomics data	Reinder	Vos de Wael	Montreal Neurological Institute	Neuroinformatics and Data Sharing	Workflows
1902	NeuroLibre : A cloud-based and curated repository for Jupyter Notebooks in neuroscience	Loic	Tetrel	Centre de recherche de l'institut de gériatrie de Montréal	Neuroinformatics and Data Sharing	Informatics Other
1903	Analytic variability in fMRI: Multivariate and meta-analytic approaches to the problem and solution	Kendra	Oudyk	McGill University	Neuroinformatics and Data Sharing	Informatics Other
1904	The construction of an Iranian brain MRI template	Foroogh-sadat	Razavi-ghahfarokhi	Neuroimaging and Analysis Group, Research Center for Molecular and Cellular Imaging	Neuroinformatics and Data Sharing	Brain Atlases
1905	Data Visualization for Query by Image Using Modern Javascript	David	Wack	SUNY Buffalo	Neuroinformatics and Data Sharing	Informatics Other
1906	JuGEx - bridging the scales between gene expression and cytoarchitecture	Sebastian	Bludau	Forschungszentrum Jülich	Neuroinformatics and Data Sharing	Brain Atlases
1907	A standard for the organization of quantitative MRI data: BIDS extension proposal 001	Gilles	de Hollander	University of Zurich, Zurich, Switzerland	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1908	Fully Synthetic Neuroimaging Data for Replication and Exploration	Kenneth	Vaden	Medical University of South Carolina	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1909	Comparison of MRI Defacing Software Across Multiple Cohorts	Athena	Theyers	Baycrest Health Sciences	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1910	BrainSuite Diffusion Pipeline (BDP): Processing tools for diffusion-MRI	Clio	Gonzalez Zacarias	University of Southern California	Neuroinformatics and Data Sharing	Workflows
1911	Variability in the analysis of a single functional neuroimaging dataset by many teams	Rotem	Botvinik-Nezer	Dartmouth College	Neuroinformatics and Data Sharing	Workflows
1912	Towards personalized connectome models of drug-resistant childhood epilepsy	Sara	Lariviere	McGill University	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1913	DPABISurf V1.3: An Updated Surface-Based Resting-State fMRI Data Analysis Toolbox	Chao-Gan	Yan	Institute of Psychology, Chinese Academy of Sciences	Neuroinformatics and Data Sharing	Workflows
1914	The DataLad Handbook: A user-focused and workflow-based addition to standard software documentation	Adina	Wagner	Institute of Neuroscience and Medicine (INM-7), Forschungszentrum Jülich	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1915	GAMBA: an integrative platform for annotation of gene transcription-neuroimaging associations	Yongbin	Wei	VU Amsterdam	Neuroinformatics and Data Sharing	Informatics Other
1916	Influence of the population differences on the construction of cortical surface atlases	Guoyuan	Yang	Peking University	Neuroinformatics and Data Sharing	Brain Atlases
1917	EEG-based brain age gap estimation and its relation to pathology detection	Lukas	Gemein	Neuromedical AI Lab, University Medical Center Freiburg	Neuroinformatics and Data Sharing	Informatics Other
1918	Framework for performing multi-subject analysis in electrophysiology within the BIDS format	Aude	Jegou	Aix-Marseille University	Neuroinformatics and Data Sharing	Workflows
1919	C-BIGR Clinical-Biological Imaging and Genetic Repository: MNI platform to accelerate open science	Krishna	Chatpar	Montreal Neurological Institute	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1920	Clinica	Alexandre	Routier	ARAMIS Lab	Neuroinformatics and Data Sharing	Workflows
1921	Brain/MINDS Beyond project - Harmonized Brain MRI Protocols and Preprocessing in Travelling Subjects	Shinsuke	Koike	The University of Tokyo	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1922	Linking Multimodal Parcellation 1.0 of Human Connectome Project to MNI Coordinates	Tetsuya	Yamamoto	National Institute for Physiological Sciences	Neuroinformatics and Data Sharing	Brain Atlases
1923	Construction of Chinese anatomical connectivity-based parcellation	Meizhen	Han	Center for MRI Research, Peking University	Neuroinformatics and Data Sharing	Brain Atlases
1924	Validating the use of individual-level structural prior matching in neonatal functional neuroimaging	Liam	Collins-Jones	University College London	Neuroinformatics and Data Sharing	Brain Atlases
1925	A model implementation of a scalable data storage for scientific computing with DataLad	Benjamin	Poldrack	Research Center Jülich	Neuroinformatics and Data Sharing	Workflows
1926	JuBrain Atlas with GapMaps—a full probabilistic cytoarchitectonic atlas of the human cerebral cortex	Hartmut	Mohlberg	Research Center Juelich	Neuroinformatics and Data Sharing	Brain Atlases
1927	Methodological variability and vibration effects in transcriptomic processing pipelines	Ross	Markello	McGill University	Neuroinformatics and Data Sharing	Workflows
1928	Mapping Cross-Scale Brain Data Using Inter-Atlas Connectivity Transformation (IntACT)	Gleb	Bezgin	Montreal Neurological Institute	Neuroinformatics and Data Sharing	Informatics Other
1929	The rsHRF toolbox (v2.2): Additional features and analyses, and extended user documentation	Sofie	Van Den Bossche	Ghent University	Neuroinformatics and Data Sharing	Workflows
1930	Development, implementation, and QA/QC of a reproducible fMRI analysis pipeline for the DMCC project	Joset	Etzel	Washington University in St. Louis	Neuroinformatics and Data Sharing	Workflows
1931	Building a Rare Disease Database for a Natural History Study of 4H Leukodystrophy	Aaron	Spahr	McGill University	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1932	NiMARE: A Neuroimaging Meta-Analysis Research Environment	Taylor	Salo	Florida International University	Neuroinformatics and Data Sharing	Informatics Other
1933	New Open Science features in the CBRAIN Platform	Natacha	Beck	McGill University	Neuroinformatics and Data Sharing	Workflows
1934	Corpus Callosum length and area measurements, an open source software for ultrasound and MR images	Elisenda	Bonet-Carne	BCNatal Fetal Medicine Research Center	Neuroinformatics and Data Sharing	Informatics Other
1935	AFIDs Validator: Web App for Quality Control of Anatomical Fiducials and Teaching Neuroanatomy	Jason	Kai	Western University	Neuroinformatics and Data Sharing	Informatics Other
1936	R-BIDS, a DICOM conversion and BIDS data structuring workflow developed in R	Niklas	Wulms	Institute for epidemiology and social medicine	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1937	Segregation of functional territories in individual brains	Ana Luísa	Pinho	Inria Saclay-Île-de-France	Neuroinformatics and Data Sharing	Brain Atlases
1938	Boosting Multi-site fMRI Analysis Using Privacy-preserving Federated Learning	Xiaoxiao	Li	Yale University	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1939	The Courtois project on neuronal modelling - first data release	Julie	Boyle	Centre de recherche de l'Institut universitaire de gériatrie de Montréal	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1940	MNE-BIDS: Standardizing archiving and analysis of electrophysiology data with MNE	Alexandre	Gramfort	University Paris	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1941	A system for automatic BIDS conversion from the Siemens console in Flywheel	Timothy	Verstynen	Carnegie Mellon University	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1942	ADMetaboMine Database: published metabolite measures in brain and biofluids in Alzheimer's disease	AmanPreet	Badhwar	CRIUGM, University of Montreal	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1943	Towards a dataset of 20 ultra-high resolution neurotransmitter receptor human atlases	Thomas	Funck	McGill University	Neuroinformatics and Data Sharing	Brain Atlases
1944	NS+: A new meta-analysis tool to extend the utility of NeuroSynth	Meng	Du	University of California, Los Angeles	Neuroinformatics and Data Sharing	Informatics Other
1945	Exploring Self-Generated Thought During Resting-State Imaging with Natural Language Processing	Huixian	Li	Institute of psychology	Neuroinformatics and Data Sharing	Workflows
1946	Anatomical Organization of Human Mediodorsal Thalamus and its Extra-thalamic connections	Kaixin	Li	Harbin University of Science and Technology	Neuroinformatics and Data Sharing	Brain Atlases
1947	An individual-specific parcellation of human cerebral cortex with subcortical references	Liang	Ma	University of Chinese Academy of Sciences	Neuroinformatics and Data Sharing	Brain Atlases
1948	Parcellation and Modularity of the Macaque Frontal Pole	bin	he	Institute of Automation, Chinese Academy of Sciences	Neuroinformatics and Data Sharing	Brain Atlases
1949	Aiding computational modeling in Alzheimer's research: publishing simulation-ready ADNI derivatives	Roopa	Pai	Charite — Universitätsmedizin Berlin	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1950	Scalable Bayesian Model for Harmonising Neuroimaging Features in Multi-site Longitudinal Studies	Habib	Ganjgahi	University of Oxford	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1951	NIH Funded NITRC’s Triad of Services: Software, Data, Compute (Come visit us in Booth 26)	Nina	Preuss	Preuss Enterprises	Neuroinformatics and Data Sharing	Informatics Other
1952	The HBP human brain atlas — a modular reference framework spanning scales and modalities	Timo	Dickscheid	Forschungszentrum Jülich GmbH	Neuroinformatics and Data Sharing	Brain Atlases
1953	Chimpanzee High-Resolution Minimum Deformation Average and Application To Aging and Sex Differences	Gabriel	Devenyi	Douglas University Mental Health Institute, McGill University	Neuroinformatics and Data Sharing	Brain Atlases
1954	IBC dataset extension, second release of high-resolution fMRI data for cognitive mapping	Ana Luísa	Pinho	Inria Saclay-Île-de-France	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1955	A quantitative and connectomic atlas of a Parkinson’s disease cohort at 7-Tesla	Yiming	Xiao	Robarts Research Institute, Western University	Neuroinformatics and Data Sharing	Brain Atlases
